feature,fold,accuracy,balanced_accuracy,specificity,sensitivity
AFR,1,0.8823529411764706,0.7976190476190477,0.9285714285714286,0.6666666666666666
AFR,2,0.8823529411764706,0.7976190476190477,0.9285714285714286,0.6666666666666666
AFR,3,0.8235294117647058,0.8928571428571428,0.7857142857142857,1.0
AFR,4,0.9411764705882353,0.9642857142857143,0.9285714285714286,1.0
AFR,5,0.9375,0.9642857142857143,0.9285714285714286,1.0
TB,1,0.9411764705882353,0.9642857142857143,0.9285714285714286,1.0
TB,2,0.8823529411764706,0.7976190476190477,0.9285714285714286,0.6666666666666666
TB,3,0.8823529411764706,0.9285714285714286,0.8571428571428571,1.0
TB,4,1.0,1.0,1.0,1.0
TB,5,0.875,0.7142857142857143,0.9285714285714286,0.5
BI,1,0.8823529411764706,0.7976190476190477,0.9285714285714286,0.6666666666666666
BI,2,0.8823529411764706,0.9285714285714286,0.8571428571428571,1.0
BI,3,0.9411764705882353,0.9642857142857143,0.9285714285714286,1.0
BI,4,1.0,1.0,1.0,1.0
BI,5,0.9375,0.9642857142857143,0.9285714285714286,1.0
AFR+BI,1,0.8823529411764706,0.7976190476190477,0.9285714285714286,0.6666666666666666
AFR+BI,2,0.8823529411764706,0.7976190476190477,0.9285714285714286,0.6666666666666666
AFR+BI,3,0.8235294117647058,0.8928571428571428,0.7857142857142857,1.0
AFR+BI,4,1.0,1.0,1.0,1.0
AFR+BI,5,0.9375,0.9642857142857143,0.9285714285714286,1.0
L-AFR,1,0.9411764705882353,0.9642857142857143,0.9285714285714286,1.0
L-AFR,2,0.7647058823529411,0.5952380952380952,0.8571428571428571,0.3333333333333333
L-AFR,3,0.8823529411764706,0.9285714285714286,0.8571428571428571,1.0
L-AFR,4,0.9411764705882353,0.9642857142857143,0.9285714285714286,1.0
L-AFR,5,0.9375,0.9642857142857143,0.9285714285714286,1.0
L-TB,1,0.9411764705882353,0.9642857142857143,0.9285714285714286,1.0
L-TB,2,0.8823529411764706,0.7976190476190477,0.9285714285714286,0.6666666666666666
L-TB,3,0.9411764705882353,0.9642857142857143,0.9285714285714286,1.0
L-TB,4,0.9411764705882353,0.9642857142857143,0.9285714285714286,1.0
L-TB,5,0.9375,0.9642857142857143,0.9285714285714286,1.0
L-BI,1,1.0,1.0,1.0,1.0
L-BI,2,0.8823529411764706,0.9285714285714286,0.8571428571428571,1.0
L-BI,3,0.9411764705882353,0.9642857142857143,0.9285714285714286,1.0
L-BI,4,0.9411764705882353,0.9642857142857143,0.9285714285714286,1.0
L-BI,5,0.875,0.9285714285714286,0.8571428571428571,1.0
L-AFR+L-BI,1,0.9411764705882353,0.9642857142857143,0.9285714285714286,1.0
L-AFR+L-BI,2,0.8235294117647058,0.8928571428571428,0.7857142857142857,1.0
L-AFR+L-BI,3,0.9411764705882353,0.9642857142857143,0.9285714285714286,1.0
L-AFR+L-BI,4,0.9411764705882353,0.9642857142857143,0.9285714285714286,1.0
L-AFR+L-BI,5,0.9375,0.9642857142857143,0.9285714285714286,1.0
